university,year,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count
The University of Warwick,2022,61,71.2,https://www.topuniversities.com/universities/university-warwick,United Kingdom,Coventry,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-warwick_664_small.jpg,Public,Very High,9.0,"10,459",L,"2,634"
University of Bristol,2022,62,71.0,https://www.topuniversities.com/universities/university-bristol,United Kingdom,Bristol,Europe,https://www.topuniversities.com/sites/default/files/university-of-bristol_69_small.jpg,Public,Very High,8.0,"7,483",L,"20,311"
Ruprecht-Karls-Universität Heidelberg,2022,63,70.8,https://www.topuniversities.com/universities/ruprecht-karls-universitat-heidelberg,Germany,Heidelberg,Europe,https://www.topuniversities.com/sites/default/files/ruprecht-karls-universitaet-heidelberg_259_small.jpg,Public,Very High,5.0,"4,048",L,"4,100"
Ludwig-Maximilians-Universität München,2022,64,70.1,https://www.topuniversities.com/universities/ludwig-maximilians-universitat-munchen,Germany,Munich,Europe,https://www.topuniversities.com/sites/default/files/ludwig-maximilians-universitt-mnchen_420_small.jpg,Public,Very High,9.0,"5,958",XL,"3,914"
KU Leuven,2022,70,67.2,https://www.topuniversities.com/universities/ku-leuven,Belgium,Leuven,Europe,https://www.topuniversities.com/sites/default/files/ku-leuven_592560cf2aeae70239af4aec_small.jpg,Public,Very High,18.0,"8,485",XL,"2,677"
University of Zurich,2022,70,67.2,https://www.topuniversities.com/universities/university-zurich,Switzerland,Zürich,Europe,https://www.topuniversities.com/sites/default/files/university-of-zurich_693_small.jpg,Public,Very High,6.0,"5,044",L,"3,761"
Sorbonne University,2022,72,67.1,https://www.topuniversities.com/universities/sorbonne-university,France,,Europe,https://www.topuniversities.com/sites/default/files/sorbonne-university_5a6afcfecb4de709397114fe_small.jpg,Public,Very High,9.0,"8,782",XL,"4,680"
University of Southampton,2022,77,65.7,https://www.topuniversities.com/universities/university-southampton,United Kingdom,Southampton,Europe,https://www.topuniversities.com/sites/default/files/university-of-southampton_567_small.jpg,Public,Very High,9.0,"8,417",L,"2,468"
University of Copenhagen,2022,79,65.5,https://www.topuniversities.com/universities/university-copenhagen,Denmark,Copenhagen,Europe,https://www.topuniversities.com/sites/default/files/university-of-copenhagen_141_small.jpg,Public,Very High,4.0,"4,135",XL,"7,293"
Durham University,2022,82,65.2,https://www.topuniversities.com/universities/durham-university,United Kingdom,Durham,Europe,https://www.topuniversities.com/sites/default/files/durham-university_170_small.jpg,Public,Very High,11.0,"6,174",L,"1,775"
